record_num,ground_truth,consensus_correct,trend_trust,pattern_trust,anomaly_trust
146,False,True,0.8901970289401075,0.904420704442437,1.0
147,True,True,0.8896908395596104,0.904519174538734,1.0
148,True,True,0.889312359630495,0.9046712839304982,1.0
149,True,True,0.8890477903341122,0.9045374888707818,1.0
150,False,True,0.8888847331550056,0.9044810909770812,1.0
151,False,True,0.8888120493131892,0.9044935081951626,1.0
152,False,True,0.8888197332707592,0.9045670331926399,1.0
153,True,True,0.8888987989047223,0.9046947454577916,1.0
154,False,False,0.888718596433605,0.9045478515571738,1.0
155,False,True,0.8886287880722957,0.9044776817860718,1.0
156,False,True,0.8886194124497796,0.9044757734800761,1.0
157,True,True,0.8886815218377131,0.9042180695497901,1.0
158,True,True,0.8888070803457657,0.9040478349218551,1.0
159,True,True,0.8889888723111892,0.9039555514296697,1.0
160,False,True,0.889220419862679,0.9039326670941561,1.0
161,True,True,0.8894959087406087,0.9036628571748639,1.0
162,False,True,0.8895033730812718,0.9034806205371322,1.0
163,False,True,0.889577426017047,0.9033764609224434,1.0
164,False,True,0.8897105925062515,0.903038814830199,1.0
165,True,True,0.8898961597616505,0.9024939694917574,1.0
166,False,True,0.8898286994741083,0.9020649318240188,1.0
167,False,True,0.8898339247647927,0.9017393910225694,1.0
168,False,True,0.8899037867261833,0.9015062803226793,1.0
169,False,True,0.8900310551123886,0.9013556522904114,1.0
170,True,False,0.8899168384900387,0.9009861689327153,1.0
171,False,True,0.8895879453387093,0.9007131334347926,1.0
172,True,True,0.8893574745042604,0.9002371958138567,1.0
173,True,True,0.8892148305021103,0.8998686486462641,1.0
174,False,True,0.8888647760233279,0.8995960694959235,1.0
175,False,True,0.8886146620573587,0.8994091898190584,1.0
176,True,True,0.8884537608233742,0.8992987793117289,1.0
177,False,True,0.8880915308084525,0.8992565418299941,1.0
178,True,True,0.8878298637611268,0.8989956921162685,1.0
179,False,True,0.8873802107183475,0.898818345126864,1.0
180,False,True,0.8870399797017614,0.8987155161390394,1.0
181,True,True,0.8867975201931237,0.8984044040855751,1.0
182,False,True,0.88636913429403,0.8981814500158154,1.0
183,False,True,0.8860474382559314,0.8977654789272774,1.0
184,False,True,0.8858210728087166,0.8974483904940092,1.0
185,False,True,0.8856798257428986,0.8972196804768663,1.0
186,True,True,0.8856145169654002,0.8968025252634043,1.0
187,True,True,0.8856168950560943,0.8964839748647235,1.0
188,False,True,0.8854149939102733,0.8962535667962406,1.0
189,True,True,0.885294547150825,0.8961018943271428,1.0
190,False,True,0.8852467678284127,0.8960205007059469,1.0
191,True,True,0.8852637577122382,0.8957413673020189,1.0
192,True,True,0.8853384182104445,0.895286401556273,1.0
193,False,True,0.8852066382450702,0.8949330191326045,1.0
194,True,True,0.8851475128821017,0.8946704864501133,1.0
195,False,True,0.8848980677163405,0.8944891520908163,1.0
196,True,True,0.8847331340411533,0.8941265312979783,1.0
197,True,True,0.8846436590208764,0.8938552923095946,1.0
198,False,True,0.8843702478926581,0.8936657429781326,1.0
199,False,True,0.8841832231033924,0.8935491686803194,1.0
200,True,False,0.8838246022855905,0.8932489781804468,1.0
201,False,True,0.8833134291857443,0.8930329912534912,1.0
202,True,True,0.8829131207499286,0.8926459482857776,1.0
203,False,False,0.8823669067141514,0.8921068436532783,1.0
204,False,True,0.8819350940915167,0.8916766470928285,1.0
205,False,True,0.881605662352268,0.8913439338398563,1.0
206,False,True,0.8813678014310509,0.8908568834510397,1.0
207,False,True,0.881211790518715,0.8902327335674742,1.0
208,False,True,0.8811288889788053,0.88972620662221,1.0
209,False,True,0.8811112381761629,0.8893250145314175,1.0
210,True,False,0.8809148063016745,0.888781138670693,1.0
211,False,True,0.8805591747281108,0.8883464210300388,1.0
212,False,True,0.8802966844853468,0.8880094315091946,1.0
213,False,True,0.8801174833265317,0.8877598902274341,1.0
214,True,True,0.8800127117380646,0.8875885523674814,1.0
215,False,True,0.8797429220457397,0.8874871045381407,1.0
216,True,True,0.8795566482743454,0.8874480715036815,1.0
217,False,True,0.8792156623459935,0.8874647322432216,1.0
218,True,True,0.8789653289881064,0.8873027339047442,1.0
219,False,True,0.8785687960892958,0.8872088241506334,1.0
220,False,True,0.8782684775663392,0.8871757245409999,1.0
221,False,True,0.878054242422318,0.8871968908256387,1.0
222,True,True,0.8779169796150638,0.8870422241645994,1.0
223,False,True,0.8776252816535575,0.8869540731767109,1.0
224,True,True,0.8774183090437573,0.8869253325257065,1.0
225,False,True,0.877065858670355,0.8869496134324278,1.0
226,True,True,0.8768042067240244,0.8870211719129737,1.0
227,False,True,0.8764044878060079,0.8871348441953605,1.0
228,True,True,0.8761002835668918,0.8872859885967851,1.0
229,False,True,0.875664168253681,0.8874704332153674,1.0
230,False,True,0.8753271886577502,0.8876844288548698,1.0
231,False,True,0.8750789525505959,0.887924606659038,1.0
232,False,True,0.8749101130895278,0.8881879399845506,1.0
233,False,True,0.8748122641737375,0.8882580348749844,1.0
234,True,True,0.874777846267002,0.888368401600252,1.0
235,True,True,0.8748000616403018,0.8885146122876845,1.0
236,False,True,0.8746618276281704,0.8886926869238949,1.0
237,True,True,0.8745906028485466,0.8886889644499929,1.0
238,False,True,0.8743700362875414,0.888732201896207,1.0
239,False,True,0.8742246993254539,0.8888173150399197,1.0
240,False,True,0.8741466277331575,0.8889397329135211,1.0
241,True,True,0.8741286591747178,0.8888887348287806,1.0
242,True,True,0.874164352928028,0.8886829889179191,1.0
243,False,True,0.8740429996024384,0.8885441982228485,1.0
244,False,True,0.8739856384177048,0.8884652886046454,1.0
245,False,True,0.8739854485596742,0.888439897955563,1.0
246,False,True,0.8740362964162574,0.8884623049211403,1.0
247,False,True,0.8741326667746316,0.888527364751607,1.0
248,False,True,0.8742696009003813,0.8886304515696191,1.0
249,True,True,0.8744426408103432,0.8885674064126572,1.0
250,False,True,0.8746477791197471,0.8885552872853357,1.0
251,True,True,0.8748814139061851,0.8883902347472784,1.0
252,False,True,0.8749426796301912,0.8882863891381633,1.0
253,False,True,0.8750468368640225,0.8880404273897013,1.0
254,False,True,0.8751892120011497,0.8878638356311234,1.0
255,False,True,0.8753656033010349,0.887749327068011,1.0
256,False,True,0.87557223363241,0.8874957951394201,1.0
257,True,True,0.8758057079435876,0.8873121070983463,1.0
258,False,True,0.8758699247940165,0.8871909349985503,1.0
